block_height,hash,waiting_time,gas_price,gas_used,fees
6819009,b661e0,9,20000000000,51621,1032420000000000
6819244,b20c07,0,1000000000,21000,21000000000000
6819095,3d82a5,4,61900000100,21000,1299900002100000
6819263,7e5b29,8,62000000000,143081,8871022000000000
6819561,312d94,15,41000000000,39512,1619992000000000
6819397,aae5e5,5,15210000000,21000,319410000000000
6819412,ba50dd,1657,9000000000,1011792,9106128000000000
6819303,e0c5f1,6,62000000000,143081,8871022000000000
6819000,0fbeb1,-252,50000000000,52776,2638800000000000
6819238,c9d5de,2,41000000000,37321,1530161000000000
6819205,7e9c80,0,62000000000,143081,8871022000000000
6819072,a19f6d,0,62000000000,143081,8871022000000000
6819430,b15a64,0,7000000000,320582,2244074000000000
6819346,0d0901,6,35000000000,21000,735000000000000
6819155,010d51,13,71000000000,21000,1491000000000000
6819109,e64824,51,61900000000,51626,3195649400000000
6819325,5b3772,1,14500000000,36433,528278500000000
6819606,f0a9ba,106,1000000000,21000,21000000000000
6819034,cb2812,4,60000002048,21000,1260000043008000
6819157,c661ec,23,71000000000,21000,1491000000000000
6819547,42025f,13,29480000000,21000,619080000000000
6819276,7bdf8b,0,1000000000,21000,21000000000000
6819573,9e34fd,51,1000000000,21000,21000000000000
6819302,d07fef,10,71000000000,21000,1491000000000000
6819256,39b32f,3,44000000000,21000,924000000000000
6819549,f618e5,5,41000000000,21000,861000000000000
6819418,0206c4,2,8925373440,38055,339655086259200
6819445,56d094,57,62000000000,143081,8871022000000000
6819469,8086a8,27,120000000000,21000,2520000000000000
6819149,07b5be,-10,1000000000,21000,21000000000000
6819280,59abbf,3,31000000000,21000,651000000000000
6819303,b1e304,1831,60000000000,37309,2238540000000000
6819483,50248a,81,62000000000,143081,8871022000000000
6819293,23a452,0,14000000000,96182,1346548000000000
6819348,36c531,33,10000000000,21000,210000000000000
6819074,ca40af,3,28375788575,21000,595891560075000
6819604,1c8740,9,61567164416,143081,8809091451805696
6819504,b28d3d,0,12000000000,39844,478128000000000
6819080,dd6c01,22,60000000000,21000,1260000000000000
6819018,1648a7,-214,5000000000,21000,105000000000000
6819302,a61a4f,2,16000000000,21000,336000000000000
6819089,14e9d1,16,71000000000,21000,1491000000000000
6819223,1f4f65,1,180000000000,21004,3780720000000000
6819516,b6783c,2,11700000000,138185,1616764500000000
6819373,8de397,1,16000000000,21000,336000000000000
6819048,75202d,2,51000000000,53037,2704887000000000
6819135,4408d6,5,62000000000,37387,2317994000000000
6819499,1d1bfb,13,24000000000,21000,504000000000000
6819330,21c366,13,62000000000,143081,8871022000000000
6819066,7d5842,2,15000000000,82083,1231245000000000
6819436,ed7503,2,11700000000,138185,1616764500000000
6819509,e72e09,-6,1000000000,21000,21000000000000
6819143,c40431,21,71000000000,21000,1491000000000000
6819079,6bf021,0,15000000000,82004,1230060000000000
6819103,fab1b7,1,15000000000,39397,590955000000000
6819023,efbcb9,0,9000000000,308951,2780559000000000
6819194,56e3df,1,21000000000,33705,707805000000000
6819074,5d40fa,3,20200000000,32654,659610800000000
6819609,3a046d,0,1000000000,21000,21000000000000
6819102,c84cdc,0,6000000000,344293,2065758000000000
6819342,fc9892,24,1000000000,21000,21000000000000
6819102,108dcb,0,6500000000,27300,177450000000000
6819426,6c6d70,2,62000000000,21000,1302000000000000
6819527,e6cd03,11,15000000000,91827,1377405000000000
6819089,5c0b27,8,61900000000,143081,8856713900000000
6819316,371c50,53,62000000000,143081,8871022000000000
6819275,e2dc7c,0,62000000000,143081,8871022000000000
6819120,7de8a0,0,10000000000,34725,347250000000000
6819018,ee683f,31,5100000000,83244,424544400000000
6819238,be0a2a,5,62000000000,143081,8871022000000000
6819432,fc8ee0,5,15000000000,36927,553905000000000
6819483,558493,31,62000000000,143081,8871022000000000
6819147,03f366,51,10000000000,21000,210000000000000
6819427,4266fd,3,120000000000,21000,2520000000000000
6819594,48be2c,2,20000000000,24823,496460000000000
6819402,d5356f,3,18000000000,196076,3529368000000000
6819414,0e121b,23,12000000000,52142,625704000000000
6819576,e09412,5,20000000000,21000,420000000000000
6819154,2b25b7,30,71000000000,21000,1491000000000000
6819065,e42392,15,31000000000,21000,651000000000000
6819278,759d0d,2,12000000100,164637,1975644016463700
6819484,e6a0c9,4,24000000000,29427,706248000000000
6819607,51b9c3,2,66000000000,37879,2500014000000000
6819237,2424af,-2,12000000000,47065,564780000000000
6819269,dbc5ca,6,62000000000,143081,8871022000000000
6819343,bb97be,3,31000000000,23231,720161000000000
6819083,eb4126,0,62000000000,143081,8871022000000000
6819429,39e09b,0,19000000000,181979,3457601000000000
6819208,6ed1e3,11,20000000000,52249,1044980000000000
6819581,0da6a9,7,10000000000,37879,378790000000000
6819574,7e8545,3,62000000000,143081,8871022000000000
6819334,47d294,6,50000000000,21000,1050000000000000
6819234,199942,-12,50000000000,52282,2614100000000000
6819474,5d9734,65,62000000000,143081,8871022000000000
6819502,25a387,0,20000000000,29427,588540000000000
6819259,5aa757,0,55000000000,21000,1155000000000000
6819408,b7e689,2,71000000000,21000,1491000000000000
6819483,1bdd70,75,62000000000,143081,8871022000000000
6819369,13751c,3,50000000000,21000,1050000000000000
6819459,48372a,4,14000000000,27127,379778000000000
6819349,006a9d,31,18000000000,143156,2576808000000000
6819018,437374,32,8500000000,53388,453798000000000
6819075,319cf6,17,18000000000,67677,1218186000000000
6819436,251eb8,6,11000000000,79985,879835000000000
6819399,d3742b,4,62000000000,143081,8871022000000000
6819172,0b53b0,77,1000000000,21000,21000000000000
6819144,76cf27,3,50000000000,21000,1050000000000000
6819417,52d07c,4,50000000000,54823,2741150000000000
6819050,1cbcf5,-25,62000000000,21000,1302000000000000
6819136,cc2878,0,50000000000,21000,1050000000000000
6819400,e92c36,0,10000000000,21000,210000000000000
6819553,795327,16,13500000000,21195,286132500000000
6819373,6914a0,46,16000000000,157900,2526400000000000
6819276,2ece64,0,1000000000,21000,21000000000000
6819264,72dce8,9,36000000000,21000,756000000000000
6819389,48b1ab,10,37000000000,21000,777000000000000
6819200,fc56df,52,1000000000,21000,21000000000000
6819135,8d32fe,1,50000000000,21000,1050000000000000
6819525,4b6c9f,23,31000000000,22190,687890000000000
6819149,3bbc75,5,41000000000,21000,861000000000000
6819316,913d0a,2,71000000000,21000,1491000000000000
6819534,e86fb4,3,50000000000,21051,1052550000000000
6819446,6aa49c,1,62000000000,143081,8871022000000000
6819068,93b387,307,5000000000,15293,76465000000000
6819302,a66437,7,80000000000,51816,4145280000000000
6819248,10e4f9,1,60000000000,21000,1260000000000000
6819333,113620,0,41000000000,58965,2417565000000000
